Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
AK-V-02,,People-generated,Void Deck,Yes,Not demarcated,Clean,Mixed,12,None,None,1.3655838,103.8563679,"Void deck
People-generated
No demarcation 
1 six seater table (state-provided)
2 metal benches (state-provides)
2 wooden and plastic chairs
Drawer cabinet filled with items
Water bottles placed in TOP of cabinet
Camera present 
More stackable chairs found in the adjacent void deck space with a sign that states the authorities allowing a certain amount of tables to be used o oh","https://www.google.com/maps/search/1.3655838,103.8563679"
AK-V-05,,People-generated,Void Deck,No,Not demarcated,Semi-clean,Mobile,10,Present,None,1.3674169,103.838101,"Void deck
People generated space
No proper picture (due to people present)
No demarcation
Multiple wooden tables
Plastic and wooden chairs set up 
Multiple fridges and freezers
No camera 
Exercise machines also present 
NEED TO REVISIT","https://www.google.com/maps/search/1.3674169,103.838101"
AK-V-06,,People-generated,Void Deck,No,Not demarcated,Semi-clean,MIxed,10,None,None,1.3701537,103.8425827,"Void deck 
People generated 
Two metal benches 
Multiple wooden and plastic chairs stacked
No demarcation of space
No cameras
There are Two coffee shops that are near each other
Seems to be the connecting portion between shelters","https://www.google.com/maps/search/1.3701537,103.8425827"
AK-V-07,,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,3,None,None,1.3703712,103.8415416,"Void deck
People generated
Table Tennis table but has wooden chairs under and beside it (3 chairs)
No demarcation
Chairs seem to be hidden 
No camera","https://www.google.com/maps/search/1.3703712,103.8415416"
AK-V-09,,People-generated,Void Deck,No,Not demarcated,Clean,Mixed,20,None,Present,1.3715048,103.8573271,"Void deck 
People-generated
Three four seater tables 
4 metal benches
Multiple tables and chairs stacked around
Wooden rocking chair also present
No cameras
Chinese decorations
Calendars hanging
","https://www.google.com/maps/search/1.3715048,103.8573271"
AK-V-12,,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,2,None,Present,1.3639971,103.8496292,"Void deck 
People generated
No demarcation 
Two chairs, a cigarette container present
Mirror also present
Could be used by workers who deal with the utilities services of the block ","https://www.google.com/maps/search/1.3639971,103.8496292"
BD-G-03,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3360173,103.923343,"Community garden
People generated
No demarcation 
Relatively organized
No cameras or seats","https://www.google.com/maps/search/1.3360173,103.923343"
BD-G-04,,People-generated,Garden,No,Not demarcated,Clean,Mobile,4,None,Present,1.3353868,103.9237822,"Community garden
People generated
No demarcation or seating 
No cameras 
Small fences are placed around bunches of plants
Sheltered area has cabinets
Calendars and ornament (Chinese) can be found 
Movable chairs and tables can be found (wooden and plastic)
Incense burner as well ","https://www.google.com/maps/search/1.3353868,103.9237822"
BD-G-05,,People-generated,Garden,Yes,Not demarcated,Clean,None,0,None,Present,1.3368911,103.9203714,"Community garden
People generated
No demarcation
Relatively organized and clean
Camera present
Some of the plants are chained may have theft cases before 
Pots are ornamental
Could be the Hawkers found in the nearby Coffeeshop 
No seating ","https://www.google.com/maps/search/1.3368911,103.9203714"
BD-G-08,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3296893,103.9121729,"Garden
People generated
No demarcation 
No camera
No seating
Relatively disorganized ","https://www.google.com/maps/search/1.3296893,103.9121729"
BD-G-09,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.33336,103.9111064,"Outdoor Garden
People-generated
No demarcation 
No seating
Relatively disorganized","https://www.google.com/maps/search/1.33336,103.9111064"
BD-G-10,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3297309,103.9100157,"Outdoor garden
People generated
No demarcation 
Built along the paths
Relatively disorganized
No seats
No cameras ","https://www.google.com/maps/search/1.3297309,103.9100157"
BD-G-11,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3322431,103.9084141,"Outdoor garden
People generated
No demarcation 
Alongside the path 
No cameras
No seating
Decorations on the plants 
First floor housing","https://www.google.com/maps/search/1.3322431,103.9084141"
BD-G-12,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3320072,103.9083333,"Outdoor garden area
People generated 
No demarcation
Two sitting swings
First floor house
No cameras 
Relatively disorganized ","https://www.google.com/maps/search/1.3320072,103.9083333"
BD-G-14,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3336281,103.9089455,"Garden
People-generated
Small
Relatively disorganized
No demarcation
No cameras
No seating
First floor housing","https://www.google.com/maps/search/1.3336281,103.9089455"
BD-G-18,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3300115,103.9384438,"Garden
People-generated
No demarcation of space
Relatively disorganized
A few decorations and ornaments 
Non-religious/cultural 
Concrete tiles as crossovers into the space
Wooden benches provided within 
Shelving for tools as well
No cameras ","https://www.google.com/maps/search/1.3300115,103.9384438"
BD-G-29,,People-generated,Garden,No,Demarcated,Clean,Mobile,4,None,Present,1.3264538,103.9228669,"Garden
People generated
First flow household
Demarcated by small fence
Relatively organized
1 four seater stone table 
Decorations and ornaments present
No camera","https://www.google.com/maps/search/1.3264538,103.9228669"
BD-G-30,,People-generated,Garden,No,Demarcated,Clean,None,0,None,None,1.3261263,103.9228625,"Garden
People generated
Demarcated (self) 
Small plot 
Relatively organized 
No seating or camera","https://www.google.com/maps/search/1.3261263,103.9228625"
BD-G-31,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3258257,103.9226389,"Garden
People generated
Relatively disorganized
No demarcation
No camera
No seating","https://www.google.com/maps/search/1.3258257,103.9226389"
BD-G-32,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3244531,103.9210524,"Garden
People generated
No demarcation
Relatively organized
Pathway set up by floor tiles
No cameras
No seats
First floor residents","https://www.google.com/maps/search/1.3244531,103.9210524"
BD-G-33,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3257392,103.9204086,"Garden
People generated
No demarcation
Lines the pathway through with pots 
Organized
Bird cages present
No cameras","https://www.google.com/maps/search/1.3257392,103.9204086"
BD-G-34,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.325949,103.9202028,"Garden
People generated
First floor homes
No demarcation 
Quite organized
Pathway created by resident through concrete tiles","https://www.google.com/maps/search/1.325949,103.9202028"
BD-G-37,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3236962,103.9428651,"Garden
People generated
No demarcation 
Relatively organized
Equipment present on site
No cameras
No seating","https://www.google.com/maps/search/1.3236962,103.9428651"
BD-O-01,,People-generated,Outdoor,Yes,Not demarcated,Clean,Mixed,4,None,None,1.3355672,103.9241289,"Outdoor
People generated
Garden with a sofa seat and wooden chairs provided in teh space
Camera is from lift landing
Not demarcated 
Relatively organized ","https://www.google.com/maps/search/1.3355672,103.9241289"
BD-O-02,,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,5,None,Present,1.3352303,103.9230275,"Semi outdoor seating area
People-generated
Chairs found within the area, 5 movable chairs
1 table provided
A religious altar present under a tree
Pots stacked on TOP one another
No demarcation of space
No camera
Behind lift landing
Relatively disorganized ","https://www.google.com/maps/search/1.3352303,103.9230275"
BD-O-03,,People-generated,Outdoor,No,Demarcated,Clean,Mobile,3,None,None,1.3292107,103.9298272,"Open space
People-generated
Chairs taken from Coffeeshop.
Seems like tables can be set up there too. 
Sheltered
Demarcated as a pathway not a central sitting area
No cameras ","https://www.google.com/maps/search/1.3292107,103.9298272"
BD-O-04,,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,6,None,Present,1.3228629,103.9336202,"Outdoor
People generated space
Has cabinets tables and chairs placed outside
No photo currently
No demarcation 
No cameras 
Near a Coffeeshop ","https://www.google.com/maps/search/1.3228629,103.9336202"
BD-O-05,,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mixed,16,None,None,1.3227748,103.932947,"Outdoor
People generated space
Simple
2 chairs added
A cooler box that is chain locked to a state provided bench
5 provided benches sheltered
2 benches outside
One tabl
No demarcation
No cameras 
","https://www.google.com/maps/search/1.3227748,103.932947"
BD-O-06,,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,8,None,Present,1.3251828,103.9264959,"Outdoor
Small garden plus equipment area
Chairs stacked
No demarcation 
Multiple pots and buckets, watering cans
Relatively organised
Makeshift rack using the tree branch
The tree may be a fruit tree as seen by the equipment present
Storage cabinets are present too
No cameras","https://www.google.com/maps/search/1.3251828,103.9264959"
BD-O-07,,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,4,None,None,1.3255397,103.9256517,"Outdoor
People generated under a treee
No demarcation 
3 foldable tables 
1 chess table 
Plastic chairs stacked up
A person was sitting in the space
No cameras
Near the Singapore pools","https://www.google.com/maps/search/1.3255397,103.9256517"
BD-V-03,,People-generated,Void Deck,No,Not demarcated,Clean,Mixed,10,None,Present,1.3334371,103.9296307,"Seating corner
People-generated
No demarcation 
No cameras
State provided a six seater table
A wooden dining table is present 
4 wooden chairs as well and a stack of plastic chairs
Chinese decorations is hung within this space 
A clock is present as wel
There could have been more things ","https://www.google.com/maps/search/1.3334371,103.9296307"
BD-V-09,,People-generated,Void Deck,No,Not demarcated,Semi-clean,Mixed,10,None,None,1.3190475,103.9456794,"Void deck 
People generated
No demarcation 
Beside minimart
1 six seater table (state)
4 additional chairs wooden and plastic
Cabinets found nearby with clothes hung 
No cameras ","https://www.google.com/maps/search/1.3190475,103.9456794"
HG-G-01,Dropped pin,People-generated,Garden,No,Not demarcated,Not clean,None,0,None,None,1.3692339,103.8950701,,
HG-G-03,Dropped pin,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3698553,103.8964585,,
HG-G-04,Dropped pin,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3690197,103.8964874,,
HG-G-07,Dropped pin,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.368394,103.8983213,,
HG-G-08,Dropped pin,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3682699,103.8982932,,
HG-G-10,Dropped pin,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3700213,103.8982549,,
HG-G-14,,People-generated,Garden,No,Demarcated,Clean,Mobile,3,None,Present,1.3561635,103.8904396,"Large community garden
Likelihood is people-generated due to heterogeneity
Though possible state tolerated as it is large. 
Demarcated by concrete kerbs, bricks and Low fences
Plastic stools found inside
Religious ornaments found in one
Aviary present as well
Advanced community garden",
HG-G-15,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,2,None,Present,1.3568168,103.8917583,"Garden (large)
People-generated
Layout is row wise
Mature plants 
Concrete tiles placed for walkability through
Disorganized 
Relatively clean
No surveillance",
HG-G-16,,People-generated,Garden,Yes,Not demarcated,Clean,Mobile,3,None,None,1.3570745,103.8917476,"Garden
People-generated
Disorganized
Clean
One cctv on the inner garden
Most like managed by residents",
HG-G-17,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3571798,103.8920714,"Mini garden
People-generated
Disorganized but clean
No surveillance
Most likely managed by residents nearby",
HG-G-18,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,2,None,None,1.3604079,103.8912953,"Gardens
People generated
Demarcated with mini fences, some not
Relatively well maintained, although disorganized. 
Should be tended by residents ",
HG-G-19,,People-generated,Garden,Semi,Not demarcated,Semi-clean,None,0,None,None,1.3605035,103.8917271,"Mini garden
People generated
Relatively young (with supports)
Disorganized 
Cctv only sees a portion",
HG-G-20,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3662039,103.8956696,"Larger garden, more organised with a mini demarcation.
 Has a mesh for young plants
Beside lift landing",
HG-G-21,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3661891,103.8958386,"Larger than the gardens on the same stretch
Beside a pathway that was built, also beside the lift landing.
A little overgrown, but still clean",
HG-G-22,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3662116,103.8960351,"Mini garden 
People-generated spaces 
Same as all those on the same stretch
Could be indication of some state tolerance",
HG-G-23,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3662002,103.8963164,"Mini gardens
People generated 
No surveillance
Very open. 
Well kept",
HG-G-24,,People-generated,Garden,No,Semi-demarcated,Semi-clean,None,0,None,None,1.3663272,103.8967707,"People generated garden
No paths, but relatively organised and clean
Looks mature, with two trees
Behind a lift landing that was newly upgraded. ",
HG-G-26,,People-generated,Garden,No,Not demarcated,Clean,Mobile,2,None,None,1.3670904,103.8948569,"People generated gardens

Long stretch
Disorganized, but kept relatively well cleaned (should be from residents who live closest)
No demarcation or surveillance ",
HG-G-27,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3679492,103.8948318,"Garden
People-generated
No seating
Relatively disorganized
But cleaned (residents from nearby most likelihood)",
HG-G-28,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3787691,103.8931105,"People generated
Relatively organzied in rows
Mostly potted plants
Non demarcated
No cameras
Has materials for watering on site 
No seating ",
HG-G-30,,People-generated,Garden,Yes,Semi-demarcated,Clean,Mobile,4,None,Present,1.3777495,103.8955379,"People-generated
Relatively disorganized but clean
No demarcation (potted plants are used instead)
1 metal bench and 2 stools for seating
Camera present though it looks like it’s a resident’s 
Ornaments present
No water source
Resident built stone path within garden ",
HG-G-31,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3776493,103.8953139,"People
Generated
Perimeter gardening
Relatively organised and clean
No demarcation
No cameras
No seating ",
HG-G-34,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,Present,1.3753225,103.8937894,"People-generated gardens
Small
Relatively disorganized
No cameras
No demarcation 
Has ornaments 
Water source for aquatic plants
Wind vane
Relatively clean",
HG-G-35,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3749156,103.8931534,"People generated
Small gardens potted plants
No demarcation 
No seating
No cameras
Low level block 
Relatively organised
Clean ",
HG-G-36,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3741296,103.8933589,"People generated 
Small garden
Disorganized
No camera
Clean 
No demarcation ",
HG-G-37,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3738591,103.8944264,"Small garden 
People generated
Organised and clean
Has a self path cutting through 
No cameras
No demarcation ",
HG-G-38,,People-generated,Garden,No,Semi-demarcated,Semi-clean,None,0,None,None,1.3740964,103.8946162,"People generated gardens
Sparsely distributed 
Mostly disorganized 
Semi demarcated
Not very clean
No cameras",
HG-G-39,,People-generated,Garden,No,Not demarcated,Clean,Mobile,2,None,None,1.3745207,103.8961541,"Large garden
People generated
Has a pond
Framing for creeper growth
Two chairs
Relatively organised
Clean
No demarcation
No camera",
HG-G-40,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3749105,103.8963884,"Small garden 
People generated
No cameras
No seating
Relatively disorganized
Clean 
No demarcation ",
HG-G-40,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3747138,103.8951674,"People generated
No demarcation
No seating
No camera 
Relatively disorganized
Clean
Found near main road and bus stop ",
HG-G-41,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3745371,103.8952582,"Relatively small garden
People generated
No cameras
Disorganized
Relatively clean ",
HG-G-42,,People-generated,Garden,No,Semi-demarcated,Clean,Mobile,7,None,Present,1.3738909,103.8957021,"People generated
Has a fence for demarcation
Advanced decorated with a mini pond for aquatics
Has a DIY arch for creepers
2 wooden benches seating 3 each
A single chair
Mini coffee table 
Ornaments present (some religious)
Large variety of plants, clean 
Bird cages
No cameras
Should be the nearby residents (Low block) ",
HG-G-43,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3736415,103.8955466,"Garden stretch
People generated
Disorganized but clean 
No demarcation 
No seating",
HG-G-44,,People-generated,Garden,No,Semi-demarcated,Clean,Mobile,7,None,Present,1.373826,103.895868,"People-generated garden
Fences to demarcated 
No locks
No camera
4 stools movable
1 wooden bench seats 3
Large green dustbin found inside
Ornaments present
Clothes rack present
Relatively disorganized
Clean
Could be the direct resident’s space ",
HG-G-45,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3732212,103.8965048,"People generated garden (small)
Disorganized 
Relatively clean
No cameras 
No proper demarcation (just some bricks)
Not as visible as others, as topography blocks most of angles to see it
Plants are young which could mean it’s a new space
",
HG-G-46,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3723541,103.8965222,"People-generated stretch 
Garden outside first floor homes 
No seating, however the standard HDB Low Walls could be used as seating 
No actual demarcation
Clean, though a little disorganized 
No camera",
HG-G-47,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,Present,1.3765663,103.888138,"Garden stretch 
People generated
First floor units
Ornaments religious present
No demarcation 
No cameras
No seating",
HG-G-48,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3754699,103.8880387,"People generated garden
First floor unit
No demarcation 
Relatively organised 
Clean
No camera
Small fence ",
HG-G-49,,People-generated,Garden,No,Not demarcated,Clean,None,0,Present,Present,1.376383,103.8850122,"Community garden stretch 
People generated 
Low blocks
Relatively disorganized
No demarcation 
Has some ornaments
Clean 
No camera
No seating
Near a playground (stone linkway)
Has shelving too
",
HG-G-50,,People-generated,Garden,No,Not demarcated,Not clean,None,0,None,None,1.3770104,103.8861397,"Garden stretch 
People generated
Messy
No seating provided
No demarcation 
Probably nearest residents
No camera",
HG-G-51,,People-generated,Garden,No,Not demarcated,Clean,Mobile,5,None,None,1.3770305,103.8859322,"Community garden stretch 
People generated
No demarcation
No camera
Seating provided (2 seater bench)
Multiple plastic stools stacked
Relatively disorganized 
Clean",
HG-G-53,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,10,None,None,1.3782747,103.8869642,"People generated
Small garden taken over by storage
Multiple dust bins and chairs are stored in the open
Clothes racks as well
Could indicate a space that is packed up ",
HG-G-56,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3801963,103.89032,"People generated
Garden stretches
No demarcation 
Low blocks
Disorganized 
No cameras
Have swing seats
Kept relatively clean",
HG-G-57,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3775601,103.8921938,"Large community garden
People generated space
Semi-organised
No demarcation 
No cameras
No seating
Very kampung ish vibe
No ornaments or seats",
HG-G-61,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,5,None,None,1.3698765,103.8817426,"People generated
First floor house
Garden present
Stacked plastics chairs are present and a stone bench
Relatively disorganized
No cameras
No demarcation ",
HG-G-62,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3693814,103.883994,"People generated space
Garden with seating
Near first floor residents
Has fish tanks and aquatic plants
Relatively disorganzied
No demarcation 
Has ornaments
No cameras ",
HG-G-64,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3702911,103.8868713,"People generated space 
Garden holds a small space
Mostly filled with religious and cultural elements such as altars
Folded and stacked table and chairs
No demarcation 
No cameras
",
HG-G-65,,People-generated,Garden,No,Not demarcated,Clean,Mobile,2,None,None,1.3728954,103.8887348,"People generated
Small gardens but with seating
Near first floor units
No demarcation 
Relatively organised
Clean 
No camera ",
HG-G-66,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3729876,103.8897108,"People generated
Disorganized
Garden and some plastic furniture that is stacked 
Indicates there could be some space generated during non-COVID era
No demarcation
Not so clean 
No cameras
Near the school gate
Near first floor units",
HG-G-67,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3720173,103.8891378,"People generated
Garden and seating area
No demarcation 
Relatively disorganized
Has seating, though it is occupied by pails 
No camera
Adjacent to a Coffeeshop and a first floor unit",
HG-G-68,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3721319,103.8899582,"Small potted garden
People generated
Relatively organised
Many decorations 
No camera
No demarcation ",
HG-G-69,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3744862,103.889871,"People generated garden
No demarcation 
Relatively organised
Clean
No camera
First level unit present",
HG-G-70,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3751736,103.8900185,"People generated
Garden 
Should be nearest resident
1 st level unit
Relatively organised 
Semi demarcated
Clean
No cameras ",
HG-G-71,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3748261,103.8914653,"Stretch of garden
People generated
Low block 
Relatively disorganized but clean 
No demarcation 
No seating 
No cameras ",
HG-G-72,,People-generated,Garden,No,Not demarcated,Clean,Mobile,5,None,None,1.3713144,103.884861,"Outdoor area garden
People generated
Along a shelter
No demarcation
Relatively disorganized
Has two benches and a chair, movable
No camera
Clean 
Near first floor households ","https://www.google.com/maps/search/1.3713144,103.884861"
HG-G-75,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3737662,103.8804551,"Garden 
People generated
First floor resident
Relatively organised
No demarcation 
No camera
No seating ","https://www.google.com/maps/search/1.3737662,103.8804551"
HG-G-77,,People-generated,Garden,No,Demarcated,Clean,None,0,None,None,1.373431,103.8803586,"Garden
People generated
First floor residences
Has demarcation in the form of a small fence 
Not locked
Relatively organised
No cameras 
No seating","https://www.google.com/maps/search/1.373431,103.8803586"
HG-O-05,,People-generated,Outdoor ,No,Not demarcated,Clean,Mobile,3,None,None,1.3563087,103.8900913,"3 seater table set up
People-generated
Simple layout",
HG-O-14,,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3765536,103.8885725,"People generated space
First floor units
Seating provided two benches
Leading to garden 
No demarcation
Relatively organised
No cameras
Relatively clean ",
HG-O-15,,People-generated,Outdoor,No,Not demarcated,Clean,None,0,None,Present,1.376628,103.8866963,"Stretch of garden
People generated
No photo yet
Mostly direct units
Ornament present
Relatively disorganized
Has a few bird cages too 
No demarcation 
Clean ",
HG-O-16,,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,4,None,None,1.3738889,103.8899729,"Stretch of shelter with furniture placed
3 tables 
4 chairs
Some are folded
Near the garden 
No demarcation, no cameras",
HG-V-19,,People-generated,Void Deck,No,Not demarcated,Clean,Mixed,5,None,None,1.37863,103.893073,"People generated
Two fixed benches
Foldable table
1 plastic chair
Plastic drawers and a locked storage compartment 
Found near a non-demarcated garden (people-generated)
Non demarcated
Clean
Relatively organised 
N",
HG-V-20,,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,30,None,Present,1.3765646,103.8938011,"People-generated
Different types of furniture present 
3 stone tables movable
3 stone benches movable
3 stone stools movable 
Stacks of plastics chairs close to 20
Pails and bottles present used to water plants nearby
Ornaments (Chinese) present
Plants decorated as well 
Near bus stop and lift landing 
Smoking jar also present 
State provided exercise equipment nearby",
HG-V-24,,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,4,None,Present,1.3700913,103.8844466,"People generated space
Adjacent to minimart and residents corner
Small cabinetry with ornaments present
Wooden furniture and stackable chairs present 
No camera
No demarcation ",
